time;position
10.810;0.436553
10.820;0.439131
10.830;0.441753
10.840;0.443987
10.850;0.446267
10.860;0.44818
10.870;0.449899
10.880;0.451663
10.890;0.453084
10.900;0.454116
10.910;0.455193
10.920;0.455926
10.930;0.456293
10.940;0.456488
10.950;0.456534
10.960;0.456212
10.970;0.455742
10.980;0.454904
10.990;0.453895
11.000;0.452736
11.010;0.45121
11.020;0.449511
11.030;0.447641
11.040;0.445598
11.050;0.443405
11.060;0.440823
11.070;0.438263
11.080;0.435508
11.090;0.432776
11.100;0.429849
11.110;0.426944
11.120;0.423845
11.130;0.420747
11.140;0.417648
11.150;0.41457
11.160;0.411011
11.170;0.410417
11.180;0.407278
11.190;0.404544
11.200;0.401597
11.210;0.398803
11.220;0.396413
11.230;0.393792
11.240;0.391535
11.250;0.38947
11.260;0.387366
11.270;0.385626
11.280;0.384058
11.290;0.382662
11.300;0.381419
11.310;0.38054
11.320;0.379833
11.330;0.379298
11.340;0.378916
11.350;0.378897
11.360;0.37905
11.370;0.379337
11.380;0.380197
11.390;0.381019
11.400;0.382203
11.410;0.38354
11.420;0.385279
11.430;0.386768
11.440;0.388831
11.450;0.390854
11.460;0.393261
11.470;0.395647
11.480;0.398225
11.490;0.400763
11.500;0.403907
11.510;0.404716
11.520;0.407658
11.530;0.410346
11.540;0.413632
11.550;0.416725
11.560;0.419818
11.570;0.422933
11.580;0.425833
11.590;0.428947
11.600;0.43189
11.610;0.43464
11.620;0.437434
11.630;0.43984
11.640;0.442269
11.650;0.444525
11.660;0.44661
11.670;0.448546
11.680;0.450093
11.690;0.451686
11.700;0.452912
11.710;0.453989
11.720;0.454427
11.730;0.457302
11.740;0.457692
11.750;0.457715
11.760;0.457566
11.770;0.457267
11.780;0.456625
11.790;0.455615
11.800;0.454434
11.810;0.45308
11.820;0.451576
11.830;0.449931
11.840;0.445942
11.850;0.443727
11.860;0.441317
11.870;0.438929
11.880;0.436369
11.890;0.433637
11.900;0.43071
11.910;0.427805
11.920;0.424706
11.930;0.421607
11.940;0.418509
11.950;0.41541
11.960;0.41229
11.970;0.409364
11.980;0.406194
11.990;0.405556
12.000;0.402782
12.010;0.4002
12.020;0.397618
12.030;0.394997
12.040;0.39274
12.050;0.390674
12.060;0.38857
12.070;0.38683
12.080;0.385262
12.090;0.383866
12.100;0.382643
12.110;0.381572
12.120;0.380865
12.130;0.38033
12.140;0.379948
12.150;0.379929
12.160;0.380063
12.170;0.38056
12.180;0.381229
12.190;0.382069
12.200;0.383082
12.210;0.384247
12.220;0.385794
12.230;0.387284
12.240;0.389366
12.250;0.391218
12.260;0.393452
12.270;0.395667
12.280;0.398053
12.290;0.400612
12.300;0.403361
12.310;0.406091
12.320;0.409258
12.330;0.409872
12.340;0.412773
12.350;0.415866
12.360;0.41898
12.370;0.42188
12.380;0.425016
12.390;0.427766
12.400;0.430516
12.410;0.433287
12.420;0.435887
12.430;0.438293
12.440;0.440722
12.450;0.442978
12.460;0.445085
12.470;0.446805
12.480;0.448546
12.490;0.450138
12.500;0.451365
12.510;0.452419
12.520;0.453324
12.530;0.453863
