h1;h2;h3;h4;h5;h6;h7;h8
0.585109;0.560559;0.531641;0.5091;0.482804;0.459403;0.433603;0.411244
0.585625;0.560398;0.531803;0.509444;0.482804;0.459584;0.433784;0.411408
0.586153;0.560054;0.532136;0.509777;0.482804;0.459575;0.433775;0.41176
0.586508;0.559699;0.532652;0.510314;0.482804;0.459747;0.433947;0.411932
0.58668;0.559527;0.533157;0.510476;0.482804;0.459919;0.434128;0.41212
0.586876;0.559355;0.533856;0.51083;0.482804;0.460091;0.434128;0.41194
0.586704;0.559183;0.534361;0.511002;0.482794;0.460272;0.434119;0.411948
0.586543;0.559011;0.53506;0.511184;0.482957;0.460263;0.4343;0.411784
0.586199;0.558839;0.535576;0.511184;0.48331;0.460435;0.434291;0.41144
0.585867;0.558667;0.536092;0.511194;0.483482;0.460616;0.434481;0.411096
0.585351;0.558484;0.536619;0.511022;0.483654;0.460616;0.434309;0.410761
0.584835;0.558484;0.536973;0.51085;0.483826;0.460607;0.434137;0.410245
0.584319;0.558462;0.537145;0.510688;0.483989;0.460788;0.433965;0.409729
0.583791;0.558806;0.537339;0.510344;0.484342;0.460797;0.433784;0.409213
0.583447;0.559161;0.537167;0.510011;0.484505;0.460616;0.433793;0.408697
0.583092;0.559333;0.537005;0.509484;0.484858;0.460616;0.433621;0.40818
0.582908;0.559494;0.536672;0.50914;0.48504;0.460625;0.433449;0.407673
0.582885;0.55986;0.536156;0.508807;0.48503;0.460453;0.433268;0.406976
0.58324;0.559849;0.53564;0.50828;0.485222;0.460281;0.433268;0.40646
0.583389;0.560021;0.535135;0.507926;0.48504;0.4601;0.433268;0.405936
0.583905;0.560193;0.534447;0.507764;0.48504;0.460109;0.433277;0.405584
0.584409;0.560365;0.533748;0.50741;0.48504;0.459937;0.433096;0.40542
0.585121;0.560548;0.533232;0.507238;0.48505;0.459765;0.433096;0.405068
0.585453;0.560548;0.532705;0.507056;0.484878;0.459593;0.433087;0.404896
0.585981;0.560559;0.532361;0.507046;0.484715;0.459421;0.433268;0.404716
0.586336;0.560398;0.532007;0.507218;0.484362;0.45924;0.433277;0.404708
0.58652;0.560043;0.531835;0.50739;0.484199;0.459249;0.433096;0.40488
0.58652;0.559871;0.531641;0.507552;0.483846;0.459068;0.433087;0.405044
0.586532;0.559699;0.531813;0.507896;0.483674;0.459068;0.433268;0.405396
0.586371;0.559527;0.531975;0.50824;0.483502;0.459068;0.433268;0.405552
0.586027;0.559366;0.532308;0.508573;0.483339;0.459068;0.433259;0.406076
0.585695;0.559011;0.532824;0.509089;0.482986;0.459068;0.433431;0.406412
0.585179;0.558839;0.533329;0.509616;0.482823;0.459059;0.433595;0.406928
