Configuration 3:  

(using maxima)

3 - 95 	 T:  0.8779347826086956
3 - 96 	 T:  0.8782258064516129
3 - 97 	 T:  0.8776063829787233
3 - 98 	 T:  0.878
3 - 99 	 T:  0.87796875
3 - 100 	 T:  0.8779381443298969
3 - 101 	 T:  0.8779081632653061
3 - 102 	 T:  0.8779292929292929
3 - 103 	 T:  0.8779499999999999
3 - 104 	 T:  0.8777722772277227
3 - 105 	 T:  0.8777941176470588
3 - 106 	 T:  0.8779611650485436
3 - 107 	 T:  0.8778846153846154
3 - 108 	 T:  0.8779523809523808
3 - 109 	 T:  0.8779245283018867
3 - 110 	 T:  0.8779439252336448
3 - 111 	 T:  0.8777314814814814
3 - 112 	 T:  0.8777981651376147
3 - 113 	 T:  0.8778636363636363
3 - 114 	 T:  0.8779729729729729
4 - 5 	 T:  0.895
4 - 6 	 T:  0.8800000000000001
4 - 7 	 T:  0.8849999999999999
4 - 8 	 T:  0.8837499999999999
4 - 9 	 T:  0.884
4 - 10 	 T:  0.8825
4 - 11 	 T:  0.8814285714285715
4 - 12 	 T:  0.8812499999999999
4 - 13 	 T:  0.8805555555555554
4 - 14 	 T:  0.8805
4 - 15 	 T:  0.8809090909090909
4 - 16 	 T:  0.8808333333333334
4 - 17 	 T:  0.88
4 - 18 	 T:  0.88
4 - 19 	 T:  0.8803333333333333
4 - 20 	 T:  0.88
4 - 21 	 T:  0.8799999999999999
4 - 22 	 T:  0.8794444444444445
4 - 23 	 T:  0.8800000000000001
4 - 24 	 T:  0.8797500000000001
4 - 25 	 T:  0.88
4 - 26 	 T:  0.8797727272727273
4 - 27 	 T:  0.8795652173913043
4 - 28 	 T:  0.8795833333333335
4 - 29 	 T:  0.8792
4 - 30 	 T:  0.8796153846153847
4 - 31 	 T:  0.8794444444444445
4 - 32 	 T:  0.8794642857142857
4 - 33 	 T:  0.8793103448275862
4 - 34 	 T:  0.8793333333333334
4 - 35 	 T:  0.8790322580645161
4 - 36 	 T:  0.87921875
4 - 37 	 T:  0.8793939393939395
4 - 38 	 T:  0.8791176470588236
4 - 39 	 T:  0.8791428571428572
4 - 40 	 T:  0.8791666666666667
4 - 41 	 T:  0.8791891891891892
4 - 42 	 T:  0.8790789473684211
4 - 43 	 T:  0.88
4 - 44 	 T:  0.8791249999999999
4 - 45 	 T:  0.878780487804878
4 - 46 	 T:  0.8789285714285714
4 - 47 	 T:  0.8776744186046512
4 - 48 	 T:  0.87875
4 - 49 	 T:  0.8788888888888889
4 - 50 	 T:  0.8788043478260871
4 - 51 	 T:  0.8780851063829788
4 - 52 	 T:  0.8792708333333333
4 - 53 	 T:  0.8788775510204082
4 - 54 	 T:  0.8789
4 - 55 	 T:  0.878235294117647
4 - 56 	 T:  0.8788461538461539
4 - 57 	 T:  0.8786792452830189
4 - 58 	 T:  0.8787962962962963
4 - 59 	 T:  0.8778181818181818
4 - 60 	 T:  0.878125
4 - 61 	 T:  0.8789473684210527
4 - 62 	 T:  0.8787068965517242
4 - 63 	 T:  0.8778813559322034
4 - 64 	 T:  0.8785833333333334
4 - 65 	 T:  0.8779508196721312
4 - 66 	 T:  0.8786290322580645
4 - 67 	 T:  0.8781746031746033
4 - 68 	 T:  0.878359375
4 - 69 	 T:  0.8785384615384616
4 - 70 	 T:  0.878560606060606
4 - 71 	 T:  0.8772388059701492
4 - 72 	 T:  0.8783823529411765
4 - 73 	 T:  0.8785507246376812
4 - 74 	 T:  0.8772142857142858
4 - 75 	 T:  0.8772535211267606
4 - 76 	 T:  0.8784722222222223
4 - 77 	 T:  0.8782876712328767
4 - 78 	 T:  0.8775675675675675
4 - 79 	 T:  0.8775333333333333
4 - 80 	 T:  0.8784210526315789
4 - 81 	 T:  0.8784415584415585
4 - 82 	 T:  0.8783974358974359
4 - 83 	 T:  0.8783544303797468
4 - 84 	 T:  0.8784374999999999
4 - 85 	 T:  0.8783333333333333
4 - 86 	 T:  0.878170731707317
4 - 87 	 T:  0.8783734939759036
4 - 88 	 T:  0.8782738095238094
4 - 89 	 T:  0.8782941176470589
4 - 90 	 T:  0.8781976744186045
4 - 91 	 T:  0.8783333333333332
4 - 92 	 T:  0.8782954545454544
4 - 93 	 T:  0.8782584269662921
4 - 94 	 T:  0.8781666666666667
4 - 95 	 T:  0.878131868131868
4 - 96 	 T:  0.8784239130434782
4 - 97 	 T:  0.8777956989247311
4 - 98 	 T:  0.8781914893617021
4 - 99 	 T:  0.878157894736842
4 - 100 	 T:  0.8781249999999999
4 - 101 	 T:  0.8780927835051546
4 - 102 	 T:  0.8781122448979591
4 - 103 	 T:  0.878131313131313
4 - 104 	 T:  0.8779499999999999
4 - 105 	 T:  0.877970297029703
4 - 106 	 T:  0.8781372549019607
4 - 107 	 T:  0.8780582524271845
4 - 108 	 T:  0.8781249999999999
4 - 109 	 T:  0.878095238095238
4 - 110 	 T:  0.8781132075471698
4 - 111 	 T:  0.8778971962616822
4 - 112 	 T:  0.877962962962963
4 - 113 	 T:  0.8780275229357798
4 - 114 	 T:  0.8781363636363636
5 - 6 	 T:  0.8650000000000002
5 - 7 	 T:  0.8799999999999999
5 - 8 	 T:  0.8799999999999999
5 - 9 	 T:  0.8812500000000001
5 - 10 	 T:  0.8800000000000001
5 - 11 	 T:  0.8791666666666668
5 - 12 	 T:  0.8792857142857142
5 - 13 	 T:  0.8787499999999999
5 - 14 	 T:  0.8788888888888889
5 - 15 	 T:  0.8795
5 - 16 	 T:  0.8795454545454546
5 - 17 	 T:  0.87875
5 - 18 	 T:  0.8788461538461539
5 - 19 	 T:  0.8792857142857143
5 - 20 	 T:  0.879
5 - 21 	 T:  0.8790625
5 - 22 	 T:  0.8785294117647059
5 - 23 	 T:  0.8791666666666668
5 - 24 	 T:  0.8789473684210528
5 - 25 	 T:  0.8792500000000001
5 - 26 	 T:  0.8790476190476191
5 - 27 	 T:  0.8788636363636364
5 - 28 	 T:  0.878913043478261
5 - 29 	 T:  0.8785416666666667
5 - 30 	 T:  0.879
5 - 31 	 T:  0.8788461538461539
