Configuration 2:  

(using maxima)

1 - 2 	 T:  0.8
6 - 44 	 T:  0.8039473684210527
6 - 45 	 T:  0.8038461538461539
6 - 46 	 T:  0.80375
6 - 47 	 T:  0.8039024390243903
6 - 48 	 T:  0.803809523809524
6 - 49 	 T:  0.8037209302325582
6 - 50 	 T:  0.8036363636363636
6 - 51 	 T:  0.8035555555555557
6 - 52 	 T:  0.803695652173913
7 - 8 	 T:  0.7999999999999998
7 - 9 	 T:  0.7999999999999998
7 - 10 	 T:  0.8033333333333333
7 - 11 	 T:  0.8024999999999998
7 - 12 	 T:  0.8039999999999999
7 - 13 	 T:  0.805
7 - 14 	 T:  0.8042857142857142
7 - 15 	 T:  0.80375
7 - 16 	 T:  0.8033333333333333
7 - 17 	 T:  0.8029999999999999
7 - 18 	 T:  0.8036363636363636
7 - 19 	 T:  0.8041666666666667
7 - 20 	 T:  0.8038461538461538
7 - 21 	 T:  0.8042857142857142
7 - 22 	 T:  0.8033333333333333
7 - 23 	 T:  0.80375
7 - 24 	 T:  0.8041176470588234
7 - 25 	 T:  0.8038888888888889
7 - 26 	 T:  0.8042105263157895
7 - 27 	 T:  0.8039999999999999
7 - 28 	 T:  0.8038095238095238
7 - 29 	 T:  0.8036363636363636
7 - 30 	 T:  0.8039130434782608
7 - 31 	 T:  0.80375
7 - 32 	 T:  0.8036
7 - 33 	 T:  0.8038461538461538
7 - 34 	 T:  0.8037037037037037
7 - 35 	 T:  0.8035714285714286
7 - 36 	 T:  0.8037931034482758
7 - 37 	 T:  0.8036666666666666
7 - 38 	 T:  0.8038709677419354
7 - 39 	 T:  0.8040625
7 - 40 	 T:  0.8036363636363636
7 - 41 	 T:  0.8038235294117646
7 - 42 	 T:  0.8037142857142858
7 - 43 	 T:  0.8038888888888889
7 - 44 	 T:  0.8037837837837838
7 - 45 	 T:  0.8036842105263158
7 - 46 	 T:  0.8035897435897434
7 - 47 	 T:  0.80375
7 - 48 	 T:  0.8036585365853659
7 - 49 	 T:  0.8035714285714286
7 - 50 	 T:  0.8034883720930232
7 - 51 	 T:  0.803409090909091
7 - 52 	 T:  0.8035555555555555
8 - 9 	 T:  0.7999999999999998
8 - 10 	 T:  0.8050000000000002
8 - 11 	 T:  0.8033333333333331
8 - 12 	 T:  0.8049999999999999
8 - 13 	 T:  0.806
8 - 14 	 T:  0.8049999999999998
8 - 15 	 T:  0.8042857142857143
8 - 16 	 T:  0.8037500000000001
8 - 17 	 T:  0.8033333333333332
8 - 18 	 T:  0.8039999999999999
8 - 19 	 T:  0.8045454545454547
8 - 20 	 T:  0.8041666666666666
8 - 21 	 T:  0.8046153846153844
8 - 22 	 T:  0.8035714285714286
8 - 23 	 T:  0.8039999999999999
8 - 24 	 T:  0.8043749999999998
8 - 25 	 T:  0.8041176470588234
8 - 26 	 T:  0.8044444444444445
8 - 27 	 T:  0.8042105263157894
8 - 28 	 T:  0.8039999999999999
8 - 29 	 T:  0.8038095238095238
8 - 30 	 T:  0.804090909090909
8 - 31 	 T:  0.8039130434782608
8 - 32 	 T:  0.80375
8 - 33 	 T:  0.8039999999999999
8 - 34 	 T:  0.8038461538461538
8 - 35 	 T:  0.8037037037037037
8 - 36 	 T:  0.8039285714285713
8 - 37 	 T:  0.8037931034482758
8 - 38 	 T:  0.8039999999999999
8 - 39 	 T:  0.8041935483870968
8 - 40 	 T:  0.80375
8 - 41 	 T:  0.8039393939393938
8 - 42 	 T:  0.8038235294117647
8 - 43 	 T:  0.8039999999999999
8 - 44 	 T:  0.8038888888888889
8 - 45 	 T:  0.8037837837837838
8 - 46 	 T:  0.8036842105263157
8 - 47 	 T:  0.8038461538461538
8 - 48 	 T:  0.8037500000000002
8 - 49 	 T:  0.8036585365853659
8 - 50 	 T:  0.8035714285714286
8 - 51 	 T:  0.8034883720930234
8 - 52 	 T:  0.8036363636363636
9 - 10 	 T:  0.8100000000000005
9 - 11 	 T:  0.8049999999999997
9 - 12 	 T:  0.8066666666666666
9 - 13 	 T:  0.8075000000000001
9 - 14 	 T:  0.8059999999999998
9 - 15 	 T:  0.805
