Configuration 1:  

(using maxima)

10 - 41 	 T:  0.8064516129032259
10 - 42 	 T:  0.805875
10 - 43 	 T:  0.8063030303030303
10 - 44 	 T:  0.806
10 - 45 	 T:  0.8059428571428572
10 - 46 	 T:  0.8057777777777777
10 - 47 	 T:  0.8063783783783784
10 - 48 	 T:  0.8033684210526316
10 - 49 	 T:  0.8065641025641026
10 - 50 	 T:  0.8064
11 - 12 	 T:  0.8399999999999999
11 - 13 	 T:  0.8199999999999994
11 - 14 	 T:  0.793333333333333
11 - 15 	 T:  0.8199999999999998
11 - 16 	 T:  0.8111999999999998
11 - 17 	 T:  0.8113333333333334
11 - 18 	 T:  0.8119999999999999
11 - 19 	 T:  0.8099999999999998
11 - 20 	 T:  0.8106666666666666
11 - 21 	 T:  0.8099999999999998
11 - 22 	 T:  0.8101818181818181
11 - 23 	 T:  0.8093333333333333
11 - 24 	 T:  0.8083076923076923
11 - 25 	 T:  0.8085714285714286
11 - 26 	 T:  0.8085333333333333
11 - 27 	 T:  0.8022499999999999
11 - 28 	 T:  0.8089411764705882
11 - 29 	 T:  0.808
11 - 30 	 T:  0.8077894736842105
11 - 31 	 T:  0.8081999999999999
11 - 32 	 T:  0.8074285714285714
11 - 33 	 T:  0.8078181818181818
11 - 34 	 T:  0.8067826086956522
11 - 35 	 T:  0.8075
11 - 36 	 T:  0.8073600000000001
11 - 37 	 T:  0.8067692307692307
11 - 38 	 T:  0.8075555555555555
11 - 39 	 T:  0.807142857142857
11 - 40 	 T:  0.8073103448275861
11 - 41 	 T:  0.8073333333333335
11 - 42 	 T:  0.8067096774193548
11 - 43 	 T:  0.807125
11 - 44 	 T:  0.8067878787878787
11 - 45 	 T:  0.8067058823529412
11 - 46 	 T:  0.8065142857142856
11 - 47 	 T:  0.8071111111111111
11 - 48 	 T:  0.804
11 - 49 	 T:  0.8072631578947368
11 - 50 	 T:  0.8070769230769231
12 - 13 	 T:  0.7999999999999989
12 - 14 	 T:  0.7699999999999996
12 - 15 	 T:  0.8133333333333331
12 - 16 	 T:  0.8039999999999998
12 - 17 	 T:  0.8056000000000001
12 - 18 	 T:  0.8073333333333332
12 - 19 	 T:  0.8057142857142855
12 - 20 	 T:  0.8069999999999999
12 - 21 	 T:  0.8066666666666664
12 - 22 	 T:  0.8071999999999999
12 - 23 	 T:  0.8065454545454546
12 - 24 	 T:  0.8056666666666666
12 - 25 	 T:  0.8061538461538462
12 - 26 	 T:  0.8062857142857143
12 - 27 	 T:  0.7997333333333333
12 - 28 	 T:  0.8069999999999999
12 - 29 	 T:  0.8061176470588236
12 - 30 	 T:  0.8059999999999999
12 - 31 	 T:  0.8065263157894735
12 - 32 	 T:  0.8058
12 - 33 	 T:  0.8062857142857143
12 - 34 	 T:  0.8052727272727274
12 - 35 	 T:  0.8060869565217391
12 - 36 	 T:  0.806
12 - 37 	 T:  0.8054399999999999
12 - 38 	 T:  0.8063076923076923
12 - 39 	 T:  0.8059259259259258
12 - 40 	 T:  0.8061428571428572
12 - 41 	 T:  0.8062068965517242
12 - 42 	 T:  0.8056
12 - 43 	 T:  0.8060645161290323
12 - 44 	 T:  0.80575
12 - 45 	 T:  0.8056969696969697
12 - 46 	 T:  0.8055294117647058
12 - 47 	 T:  0.8061714285714286
12 - 48 	 T:  0.803
12 - 49 	 T:  0.8063783783783783
12 - 50 	 T:  0.8062105263157896
13 - 14 	 T:  0.7400000000000002
13 - 15 	 T:  0.8200000000000003
13 - 16 	 T:  0.8053333333333335
13 - 17 	 T:  0.8070000000000004
13 - 18 	 T:  0.8088000000000001
13 - 19 	 T:  0.8066666666666666
13 - 20 	 T:  0.808
13 - 21 	 T:  0.8074999999999999
13 - 22 	 T:  0.808
13 - 23 	 T:  0.8072000000000001
13 - 24 	 T:  0.8061818181818182
13 - 25 	 T:  0.8066666666666668
13 - 26 	 T:  0.8067692307692309
13 - 27 	 T:  0.7997142857142857
13 - 28 	 T:  0.8074666666666667
13 - 29 	 T:  0.8065000000000001
13 - 30 	 T:  0.8063529411764706
13 - 31 	 T:  0.8068888888888889
13 - 32 	 T:  0.8061052631578948
13 - 33 	 T:  0.8065999999999999
13 - 34 	 T:  0.8055238095238098
13 - 35 	 T:  0.8063636363636365
13 - 36 	 T:  0.8062608695652176
13 - 37 	 T:  0.8056666666666666
13 - 38 	 T:  0.80656
13 - 39 	 T:  0.8061538461538462
13 - 40 	 T:  0.8063703703703703
13 - 41 	 T:  0.8064285714285716
13 - 42 	 T:  0.8057931034482759
13 - 43 	 T:  0.8062666666666668
13 - 44 	 T:  0.8059354838709678
13 - 45 	 T:  0.8058750000000001
13 - 46 	 T:  0.8056969696969697
13 - 47 	 T:  0.8063529411764707
13 - 48 	 T:  0.8030857142857144
13 - 49 	 T:  0.8065555555555556
13 - 50 	 T:  0.8063783783783786
14 - 15 	 T:  0.9000000000000004
14 - 16 	 T:  0.8380000000000001
14 - 17 	 T:  0.8293333333333338
14 - 18 	 T:  0.8260000000000001
14 - 19 	 T:  0.82
14 - 20 	 T:  0.8193333333333334
14 - 21 	 T:  0.817142857142857
14 - 22 	 T:  0.8165
14 - 23 	 T:  0.8146666666666668
14 - 24 	 T:  0.8128
14 - 25 	 T:  0.8127272727272729
14 - 26 	 T:  0.8123333333333335
14 - 27 	 T:  0.8043076923076923
14 - 28 	 T:  0.8122857142857143
14 - 29 	 T:  0.8109333333333334
14 - 30 	 T:  0.8105
14 - 31 	 T:  0.8108235294117646
14 - 32 	 T:  0.8097777777777778
14 - 33 	 T:  0.8101052631578947
14 - 34 	 T:  0.8088000000000001
14 - 35 	 T:  0.8095238095238095
14 - 36 	 T:  0.8092727272727274
14 - 37 	 T:  0.8085217391304348
14 - 38 	 T:  0.8093333333333333
14 - 39 	 T:  0.8088
14 - 40 	 T:  0.808923076923077
14 - 41 	 T:  0.808888888888889
14 - 42 	 T:  0.8081428571428572
14 - 43 	 T:  0.8085517241379311
14 - 44 	 T:  0.8081333333333334
14 - 45 	 T:  0.808
14 - 46 	 T:  0.80775
14 - 47 	 T:  0.8083636363636364
14 - 48 	 T:  0.8049411764705883
14 - 49 	 T:  0.8084571428571429
14 - 50 	 T:  0.8082222222222223
15 - 16 	 T:  0.7759999999999998
15 - 17 	 T:  0.7940000000000005
15 - 18 	 T:  0.8013333333333333
15 - 19 	 T:  0.7999999999999998
15 - 20 	 T:  0.8032
15 - 21 	 T:  0.8033333333333331
15 - 22 	 T:  0.8045714285714285
15 - 23 	 T:  0.804
15 - 24 	 T:  0.8031111111111111
15 - 25 	 T:  0.804
15 - 26 	 T:  0.8043636363636364
15 - 27 	 T:  0.7963333333333332
15 - 28 	 T:  0.8055384615384615
15 - 29 	 T:  0.8045714285714286
15 - 30 	 T:  0.8045333333333333
15 - 31 	 T:  0.8052499999999999
15 - 32 	 T:  0.8044705882352942
15 - 33 	 T:  0.8051111111111111
15 - 34 	 T:  0.804
15 - 35 	 T:  0.805
15 - 36 	 T:  0.8049523809523811
15 - 37 	 T:  0.8043636363636363
15 - 38 	 T:  0.8053913043478261
15 - 39 	 T:  0.805
15 - 40 	 T:  0.8052799999999999
15 - 41 	 T:  0.8053846153846156
15 - 42 	 T:  0.8047407407407408
15 - 43 	 T:  0.8052857142857144
15 - 44 	 T:  0.8049655172413793
15 - 45 	 T:  0.8049333333333334
15 - 46 	 T:  0.8047741935483871
15 - 47 	 T:  0.8055000000000001
15 - 48 	 T:  0.8020606060606061
15 - 49 	 T:  0.8057647058823529
15 - 50 	 T:  0.8056000000000001
16 - 17 	 T:  0.8120000000000012
16 - 18 	 T:  0.8140000000000001
16 - 19 	 T:  0.8079999999999998
16 - 20 	 T:  0.81
16 - 21 	 T:  0.8087999999999997
16 - 22 	 T:  0.8093333333333333
16 - 23 	 T:  0.808
16 - 24 	 T:  0.8065
16 - 25 	 T:  0.8071111111111112
16 - 26 	 T:  0.8072000000000001
16 - 27 	 T:  0.7981818181818181
16 - 28 	 T:  0.8079999999999999
16 - 29 	 T:  0.8067692307692309
16 - 30 	 T:  0.8065714285714286
16 - 31 	 T:  0.8071999999999999
16 - 32 	 T:  0.80625
16 - 33 	 T:  0.8068235294117647
16 - 34 	 T:  0.8055555555555557
16 - 35 	 T:  0.8065263157894736
16 - 36 	 T:  0.8064
16 - 37 	 T:  0.8057142857142858
16 - 38 	 T:  0.8067272727272726
16 - 39 	 T:  0.8062608695652173
